Time,Sensor HR,Time,Respiratory,Time,Distance,Timw,Body_val,Real HR
10:29:40,0,10:29:41,0,10:29:41,0,10:29:40,6,
10:29:44,86,10:29:45,15,10:29:44,0,10:29:44,23,
10:29:47,86,10:29:48,15,10:29:47,47,10:29:47,9,
10:29:50,84,10:29:51,15,10:29:50,47,10:29:50,38,
10:30:02,94,10:30:03,24,10:30:02,47,10:30:02,15,94
10:30:05,97,10:30:06,23,10:30:05,47,10:30:05,25,94
10:30:08,100,10:30:09,23,10:30:08,47,10:30:08,11,94
10:30:11,103,10:30:12,22,10:30:11,47,10:30:10,32,94
10:30:14,97,10:30:15,22,10:30:14,47,10:30:14,3,94
10:30:17,91,10:30:18,22,10:30:17,47,10:30:17,16,94
10:30:20,85,10:30:21,21,10:30:20,47,10:30:20,47,94
10:30:23,79,10:30:24,22,10:30:23,47,10:30:23,13,84
10:30:26,80,10:30:27,22,10:30:26,47,10:30:26,23,84
10:30:29,80,10:30:30,23,10:30:29,47,10:30:29,12,84
10:30:32,81,10:30:33,23,10:30:32,47,10:30:32,9,84
10:30:35,76,10:30:36,23,10:30:35,47,10:30:35,19,84
10:30:38,73,10:30:39,23,10:30:38,47,10:30:38,5,84
10:30:41,70,10:30:42,23,10:30:41,47,10:30:41,5,86
10:30:44,67,10:30:45,22,10:30:44,47,10:30:44,15,86
10:30:47,66,10:30:48,22,10:30:47,47,10:30:47,20,86
10:30:50,66,10:30:51,22,10:30:50,47,10:30:50,28,86
10:30:53,66,10:30:54,21,10:30:53,47,10:30:53,15,86
10:30:56,66,10:30:57,21,10:30:56,47,10:30:56,5,86
10:31:02,66,10:31:03,21,10:31:02,47,10:31:02,36,94
10:31:05,68,10:31:06,21,10:31:05,47,10:31:05,25,94
10:31:08,71,10:31:09,21,10:31:08,47,10:31:08,16,94
10:31:11,74,10:31:12,20,10:31:11,47,10:31:11,5,94
10:31:14,77,10:31:15,20,10:31:14,47,10:31:14,3,94
10:31:17,80,10:31:18,20,10:31:17,47,10:31:17,3,94
10:31:20,0,10:31:21,21,10:31:20,47,10:31:20,21,94
10:31:23,86,10:31:24,21,10:31:23,47,10:31:23,49,90
10:31:26,0,10:31:27,21,10:31:26,47,10:31:26,14,90
10:31:29,80,10:31:30,21,10:31:29,47,10:31:29,6,90
10:31:32,79,10:31:33,21,10:31:32,47,10:31:32,30,90
10:31:35,79,10:31:36,21,10:31:35,47,10:31:35,37,90
10:31:38,79,10:31:39,21,10:31:38,47,10:31:38,6,90
10:31:41,79,10:31:42,20,10:31:41,47,10:31:41,14,88
10:31:44,79,10:31:45,19,10:31:44,47,10:31:44,2,88
10:31:47,79,10:31:48,19,10:31:47,47,10:31:47,31,88
10:31:50,77,10:31:51,19,10:31:50,47,10:31:50,48,88
10:31:53,72,10:31:54,19,10:31:53,47,10:31:53,53,88
10:31:56,69,10:31:57,20,10:31:56,47,10:31:56,8,88
10:32:02,64,10:32:03,20,10:32:02,47,10:32:02,15,85
10:32:05,64,10:32:06,20,10:32:05,47,10:32:05,10,85
10:32:08,64,10:32:09,20,10:32:08,47,10:32:08,3,85
10:32:11,64,10:32:12,20,10:32:11,47,10:32:11,12,85
10:32:14,64,10:32:15,20,10:32:14,47,10:32:14,24,85
10:32:17,64,10:32:18,21,10:32:17,47,10:32:17,19,85
10:32:20,64,10:32:21,22,10:32:20,47,10:32:20,9,85
10:32:23,63,10:32:24,22,10:32:23,47,10:32:23,12,90
10:32:26,63,10:32:27,22,10:32:26,47,10:32:26,7,90
10:32:29,63,10:32:30,22,10:32:29,47,10:32:29,9,90
10:32:32,63,10:32:33,22,10:32:32,47,10:32:32,5,90
10:32:35,63,10:32:36,22,10:32:35,47,10:32:35,16,90
10:32:38,63,10:32:39,22,10:32:38,47,10:32:38,7,90
10:32:41,63,10:32:42,22,10:32:41,47,10:32:41,13,84
10:32:44,63,10:32:45,22,10:32:44,47,10:32:44,2,84
10:32:47,64,10:32:48,22,10:32:47,47,10:32:47,4,84
10:32:50,65,10:32:51,22,10:32:50,47,10:32:50,30,84
10:32:53,67,10:32:54,22,10:32:53,47,10:32:53,12,84
10:32:56,70,10:32:57,21,10:32:56,47,10:32:56,6,84
10:33:02,74,10:33:03,21,10:33:02,47,10:33:02,19,87
10:33:05,76,10:33:06,21,10:33:05,47,10:33:05,16,87
10:33:08,78,10:33:09,21,10:33:08,47,10:33:08,14,87
10:33:11,81,10:33:12,21,10:33:11,47,10:33:11,1,87
10:33:14,84,10:33:15,22,10:33:14,47,10:33:14,2,87
10:33:17,87,10:33:18,23,10:33:17,47,10:33:17,4,87
10:33:20,90,10:33:21,22,10:33:20,47,10:33:20,4,87
10:33:23,91,10:33:24,21,10:33:23,47,10:33:23,11,82
10:33:26,91,10:33:27,21,10:33:26,47,10:33:26,3,82
10:33:29,91,10:33:30,20,10:33:29,47,10:33:29,2,82
10:33:32,91,10:33:33,20,10:33:32,47,10:33:32,5,82
10:33:35,91,10:33:36,19,10:33:35,47,10:33:35,9,82
10:33:38,87,10:33:39,20,10:33:38,47,10:33:38,5,82
10:33:41,81,10:33:42,21,10:33:41,47,10:33:41,8,83
10:33:44,78,10:33:45,20,10:33:44,47,10:33:44,6,83
10:33:47,75,10:33:48,20,10:33:47,47,10:33:47,4,83
10:33:50,75,10:33:51,20,10:33:50,47,10:33:50,5,83
10:33:53,75,10:33:54,20,10:33:53,47,10:33:53,7,83
10:33:56,75,10:33:57,19,10:33:56,47,10:33:56,18,83
10:34:02,75,10:34:03,20,10:34:02,47,10:34:02,8,88
10:34:05,75,10:34:06,20,10:34:05,47,10:34:05,25,88
10:34:08,75,10:34:09,20,10:34:08,47,10:34:08,56,88
10:34:11,72,10:34:12,20,10:34:11,47,10:34:11,13,88
10:34:14,69,10:34:15,19,10:34:14,47,10:34:14,8,88
10:34:17,67,10:34:18,18,10:34:17,47,10:34:17,3,88
10:34:20,67,10:34:21,17,10:34:20,47,10:34:20,4,88
10:34:23,67,10:34:24,16,10:34:23,47,10:34:23,8,84
10:34:26,67,10:34:27,16,10:34:26,47,10:34:26,11,84
10:34:29,67,10:34:30,16,10:34:29,47,10:34:29,5,84
10:34:32,67,10:34:33,17,10:34:33,47,10:34:32,2,84
10:34:35,67,10:34:36,18,10:34:35,47,10:34:35,5,84
10:34:38,67,10:34:39,17,10:34:38,47,10:34:38,17,84
10:34:41,67,10:34:42,17,10:34:41,47,10:34:41,28,87
10:34:44,67,10:34:45,16,10:34:44,47,10:34:44,2,87
10:34:47,67,10:34:48,16,10:34:47,47,10:34:47,4,87
10:34:50,67,10:34:51,16,10:34:50,47,10:34:50,16,87
10:34:53,67,10:34:54,16,10:34:53,47,10:34:53,12,87
10:34:56,67,10:34:57,17,10:34:56,47,10:34:56,44,87
10:35:02,71,10:35:03,17,10:35:02,47,10:35:02,23,86
10:35:05,74,10:35:06,17,10:35:05,47,10:35:05,2,86
10:35:08,73,10:35:09,17,10:35:08,47,10:35:08,3,86
10:35:11,70,10:35:12,17,10:35:11,47,10:35:11,3,86
10:35:14,67,10:35:15,17,10:35:14,47,10:35:14,10,86
10:35:17,65,10:35:18,17,10:35:17,47,10:35:17,10,86
10:35:20,65,10:35:21,17,10:35:21,47,10:35:20,5,86
