Time,Sensor HR,Time,Respiratory,Time,Distance,,Body Val,Real HR
15:09:22,0,15:09:23,0,15:09:22,0,15:09:23,30,0
15:09:25,60,15:09:26,12,15:09:26,66,15:09:26,12,0
15:09:28,60,15:09:29,14,15:09:28,66,15:09:29,61,0
15:09:31,65,15:09:32,14,15:09:32,66,15:09:32,60,0
15:09:34,64,15:09:35,17,15:09:34,66,15:09:35,17,0
15:09:37,64,15:09:38,19,15:09:38,66,15:09:38,24,0
15:09:40,64,15:09:41,19,15:09:40,66,15:09:41,31,0
15:09:43,64,15:09:44,20,15:09:44,66,15:09:44,6,0
15:09:46,64,15:09:47,21,15:09:46,66,15:09:47,15,0
15:09:49,64,15:09:50,21,15:09:50,66,15:09:50,38,0
15:09:52,64,15:09:53,22,15:09:52,66,15:09:53,8,0
15:09:55,64,15:09:56,22,15:09:56,66,15:09:56,33,0
15:09:58,64,15:09:59,22,15:09:58,66,15:09:59,37,0
15:10:01,66,15:10:02,22,15:10:02,66,15:10:02,7,65
15:10:04,69,15:10:05,22,15:10:04,66,15:10:05,2,65
15:10:07,70,15:10:08,22,15:10:08,66,15:10:08,12,65
15:10:10,70,15:10:11,22,15:10:10,66,15:10:11,16,65
15:10:13,70,15:10:14,22,15:10:14,66,15:10:14,4,71
15:10:16,70,15:10:17,22,15:10:16,66,15:10:17,5,71
15:10:19,70,15:10:20,20,15:10:20,66,15:10:20,3,71
15:10:22,70,15:10:23,20,15:10:22,66,15:10:23,18,71
15:10:25,70,15:10:26,20,15:10:26,66,15:10:26,15,71
15:10:28,70,15:10:29,20,15:10:28,66,15:10:29,15,71
15:10:31,73,15:10:32,20,15:10:32,66,15:10:32,3,71
15:10:34,76,15:10:35,20,15:10:34,66,15:10:35,3,71
15:10:37,76,15:10:38,20,15:10:38,66,15:10:38,14,76
15:10:40,76,15:10:41,20,15:10:40,66,15:10:41,31,76
15:10:43,74,15:10:44,20,15:10:44,66,15:10:44,17,76
15:10:46,71,15:10:47,20,15:10:46,66,15:10:47,7,76
15:10:49,68,15:10:50,20,15:10:50,66,15:10:50,6,76
15:10:52,65,15:10:53,20,15:10:52,66,15:10:53,18,76
15:10:55,65,15:10:56,20,15:10:56,66,15:10:56,12,76
15:10:58,65,15:10:59,20,15:10:58,66,15:10:59,25,76
15:11:01,65,15:11:02,20,15:11:02,66,15:11:02,12,69
15:11:04,65,15:11:05,20,15:11:04,66,15:11:05,6,69
15:11:07,65,15:11:08,21,15:11:08,66,15:11:08,13,69
15:11:10,65,15:11:11,21,15:11:10,66,15:11:11,18,69
15:11:13,65,15:11:14,20,15:11:14,66,15:11:14,11,69
15:11:16,65,15:11:17,19,15:11:16,66,15:11:17,4,73
15:11:19,65,15:11:20,19,15:11:20,66,15:11:20,15,73
15:11:22,65,15:11:23,19,15:11:22,66,15:11:23,13,73
15:11:25,65,15:11:26,20,15:11:26,66,15:11:26,4,73
15:11:28,65,15:11:29,20,15:11:28,66,15:11:29,5,73
15:11:31,65,15:11:32,20,15:11:32,66,15:11:32,9,71
15:11:34,65,15:11:35,20,15:11:34,66,15:11:35,16,71
15:11:37,65,15:11:38,20,15:11:38,66,15:11:38,2,71
15:11:40,65,15:11:41,20,15:11:40,66,15:11:41,2,71
15:11:43,65,15:11:44,19,15:11:44,66,15:11:44,11,71
15:11:46,65,15:11:47,20,15:11:46,66,15:11:47,14,73
15:11:49,65,15:11:50,20,15:11:50,66,15:11:50,13,73
